State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
Illinois,17,15-24 years,15-24,Male,M,2429,17287939,14.1
Illinois,17,25-34 years,25-34,Female,F,655,16738770,3.9
Illinois,17,25-34 years,25-34,Male,M,2943,16969421,17.3
Illinois,17,35-44 years,35-44,Female,F,909,17146088,5.3
Illinois,17,35-44 years,35-44,Male,M,3369,17000107,19.8
Illinois,17,45-54 years,45-54,Female,F,1082,17072740,6.3
Illinois,17,45-54 years,45-54,Male,M,3600,16524697,21.8
Illinois,17,55-64 years,55-64,Female,F,744,13515054,5.5
Illinois,17,55-64 years,55-64,Male,M,2556,12562489,20.3
Illinois,17,65-74 years,65-74,Female,F,311,8908751,3.5
Illinois,17,65-74 years,65-74,Male,M,1365,7487244,18.2
Illinois,17,75-84 years,75-84,Female,F,197,6078492,3.2
Illinois,17,75-84 years,75-84,Male,M,1100,4117989,26.7
Illinois,17,85+ years,85+,Female,F,73,2978388,2.5
Illinois,17,85+ years,85+,Male,M,483,1313917,36.8
Indiana,18,5-14 years,5-14,Female,F,28,8243904,0.3
Indiana,18,5-14 years,5-14,Male,M,103,8648601,1.2
Indiana,18,15-24 years,15-24,Female,F,319,8550315,3.7
Indiana,18,15-24 years,15-24,Male,M,1711,8907455,19.2
Indiana,18,25-34 years,25-34,Female,F,489,7839701,6.2
Indiana,18,25-34 years,25-34,Male,M,2238,7933765,28.2
Indiana,18,35-44 years,35-44,Female,F,691,8326630,8.3
Indiana,18,35-44 years,35-44,Male,M,2423,8317778,29.1
Indiana,18,45-54 years,45-54,Female,F,755,8547976,8.8
Indiana,18,45-54 years,45-54,Male,M,2620,8397924,31.2
Indiana,18,55-64 years,55-64,Female,F,491,6956581,7.1
Indiana,18,55-64 years,55-64,Male,M,1662,6571056,25.3
Indiana,18,65-74 years,65-74,Female,F,169,4660292,3.6
Indiana,18,65-74 years,65-74,Male,M,976,3987228,24.5
Indiana,18,75-84 years,75-84,Female,F,84,3123475,2.7
Indiana,18,75-84 years,75-84,Male,M,759,2129814,35.6
Indiana,18,85+ years,85+,Female,F,29,1451309,2
Indiana,18,85+ years,85+,Male,M,307,638638,48.1
Iowa,19,5-14 years,5-14,Female,F,24,3749582,0.6
Iowa,19,5-14 years,5-14,Male,M,47,3942937,1.2
Iowa,19,15-24 years,15-24,Female,F,151,4049078,3.7
Iowa,19,15-24 years,15-24,Male,M,934,4266927,21.9
Iowa,19,25-34 years,25-34,Female,F,195,3463502,5.6
Iowa,19,25-34 years,25-34,Male,M,906,3610925,25.1
Iowa,19,35-44 years,35-44,Female,F,281,3685998,7.6
Iowa,19,35-44 years,35-44,Male,M,1043,3745984,27.8
Iowa,19,45-54 years,45-54,Female,F,346,3954606,8.7
Iowa,19,45-54 years,45-54,Male,M,1104,3974994,27.8
Iowa,19,55-64 years,55-64,Female,F,174,3299651,5.3
Iowa,19,55-64 years,55-64,Male,M,740,3225967,22.9
Iowa,19,65-74 years,65-74,Female,F,85,2321848,3.7
Iowa,19,65-74 years,65-74,Male,M,428,2046748,20.9
Iowa,19,75-84 years,75-84,Female,F,40,1743426,2.3
Iowa,19,75-84 years,75-84,Male,M,324,1232295,26.3
Iowa,19,85+ years,85+,Female,F,24,955691,2.5
Iowa,19,85+ years,85+,Male,M,179,423551,42.3
Kansas,20,5-14 years,5-14,Female,F,19,3675182,Unreliable
Kansas,20,5-14 years,5-14,Male,M,51,3872995,1.3
Kansas,20,15-24 years,15-24,Female,F,175,3790639,4.6
Kansas,20,15-24 years,15-24,Male,M,968,4074580,23.8
Kansas,20,25-34 years,25-34,Female,F,214,3382527,6.3
Kansas,20,25-34 years,25-34,Male,M,1083,3530333,30.7
Kansas,20,35-44 years,35-44,Female,F,314,3488401,9
Kansas,20,35-44 years,35-44,Male,M,1059,3528849,30
Kansas,20,45-54 years,45-54,Female,F,347,3636698,9.5
Kansas,20,45-54 years,45-54,Male,M,1171,3608907,32.4
Kansas,20,55-64 years,55-64,Female,F,246,2933087,8.4
